chain_id,contain_callback_ids,priority,wcet_sum
0,[0, 1],1,18.400000000000002
1,[2, 3, 4, 5],3,32.0
2,[6, 7, 8, 9],7,63.1
3,[10, 11, 12],11,45.1
4,[13, 14, 15, 16],14,27.199999999999996
5,[17, 18],18,197.6
6,[19, 20],20,35.400000000000006
7,[21, 22],22,39.800000000000004
8,[23, 24],24,39.800000000000004
9,[25, 26],26,34.900000000000006
10,[27, 28],28,35.400000000000006
11,[29, 30],30,35.400000000000006
